time,ax,ay,az,gx,gy,gz,label
1770088965.1066382,-4.78,0.03,-0.34,-0.57,0.61,0.17,1
1770088965.109428,-4.77,0.15,-0.59,-0.55,0.6,0.18,1
1770088965.11474,-4.82,0.31,-0.78,-0.53,0.58,0.2,1
1770088965.1173928,-4.87,0.34,-0.84,-0.52,0.56,0.21,1
1770088965.120317,-4.96,0.4,-1.04,-0.53,0.52,0.22,1
1770088965.123258,-5.0,0.5,-1.18,-0.53,0.48,0.23,1
1770088965.128524,-5.06,0.6,-1.39,-0.56,0.44,0.24,1
1770088965.1314309,-5.08,0.71,-1.7,-0.57,0.4,0.25,1
1770088965.134144,-5.19,0.77,-1.96,-0.6,0.35,0.25,1
1770088965.1369112,-5.32,0.8,-2.27,-0.62,0.31,0.25,1
